profile,method,role,split,rmse,mae,r2,n_rows
train_mean,mean,mean_baseline,train,33.0042,28.1429,0,20928
train_mean,mean,mean_baseline,val,34.156,28.9426,-0.00154462,9408
train_mean,mean,mean_baseline,test,33.9662,28.9105,-0.000375797,4704
calendar_cycle_context,ridge,admissible,train,25.7222,19.5299,0.392597,20928
calendar_cycle_context,ridge,admissible,val,26.1473,19.304,0.413065,9408
calendar_cycle_context,ridge,admissible,test,26.3259,20.1191,0.399056,4704
calendar_cycle_context,extra_trees,admissible,train,4.34341,2.04314,0.982681,20928
calendar_cycle_context,extra_trees,admissible,val,23.1132,12.4325,0.541377,9408
calendar_cycle_context,extra_trees,admissible,test,25.7474,14.0451,0.425177,4704
calendar_numeric_context,ridge,admissible,train,27.6588,20.1437,0.297692,20928
calendar_numeric_context,ridge,admissible,val,27.7108,19.6527,0.34077,9408
calendar_numeric_context,ridge,admissible,test,28.3749,20.954,0.301868,4704
calendar_numeric_context,extra_trees,admissible,train,6.1818,3.0095,0.964917,20928
calendar_numeric_context,extra_trees,admissible,val,33.6915,19.0876,0.0255079,9408
calendar_numeric_context,extra_trees,admissible,test,37.1729,21.5158,-0.198179,4704
load_type_shortcut_control,ridge,shortcut_control,train,24.9514,17.4602,0.428453,20928
load_type_shortcut_control,ridge,shortcut_control,val,25.4217,17.7461,0.445186,9408
load_type_shortcut_control,ridge,shortcut_control,test,25.4656,17.561,0.437688,4704
load_type_shortcut_control,extra_trees,shortcut_control,train,19.9808,11.7352,0.63349,20928
load_type_shortcut_control,extra_trees,shortcut_control,val,19.6506,11.7731,0.668497,9408
load_type_shortcut_control,extra_trees,shortcut_control,test,20.8288,11.8463,0.623819,4704
direct_electrical_proxy_control,ridge,shortcut_control,train,10.0515,7.08672,0.907248,20928
direct_electrical_proxy_control,ridge,shortcut_control,val,9.61125,6.6754,0.920696,9408
direct_electrical_proxy_control,ridge,shortcut_control,test,10.6368,6.83269,0.901896,4704
direct_electrical_proxy_control,extra_trees,shortcut_control,train,0.266143,0.0673295,0.999935,20928
direct_electrical_proxy_control,extra_trees,shortcut_control,val,0.501293,0.138848,0.999784,9408
direct_electrical_proxy_control,extra_trees,shortcut_control,test,0.648701,0.160853,0.999635,4704
co2_direct_control,ridge,shortcut_control,train,5.7208,2.86128,0.969955,20928
co2_direct_control,ridge,shortcut_control,val,4.08608,2.73321,0.985667,9408
co2_direct_control,ridge,shortcut_control,test,4.12097,2.73026,0.985275,4704
co2_direct_control,extra_trees,shortcut_control,train,5.6591,2.8278,0.970599,20928
co2_direct_control,extra_trees,shortcut_control,val,3.98859,2.69274,0.986342,9408
co2_direct_control,extra_trees,shortcut_control,test,4.05688,2.7276,0.985729,4704
row_order_control,ridge,shortcut_control,train,32.7043,27.7186,0.0180924,20928
row_order_control,ridge,shortcut_control,val,34.2904,28.9963,-0.00944164,9408
row_order_control,ridge,shortcut_control,test,33.4167,28.8756,0.0317296,4704
row_order_control,extra_trees,shortcut_control,train,10.527,6.48762,0.898266,20928
row_order_control,extra_trees,shortcut_control,val,41.9858,25.0428,-0.513357,9408
row_order_control,extra_trees,shortcut_control,test,38.9943,23.2629,-0.318473,4704
