case_id,split,diffusivity,source_width,source_amplitude,ambient,sensor_count,noise_std
P164-CASE-000,train,0.018,0.035,1,0.22,117,0.025
P164-CASE-001,train,0.018,0.052,1.051537415,0.2108060461,117,0.025
P164-CASE-002,train,0.018,0.07,1.078835978,0.1916770633,117,0.025
P164-CASE-003,val,0.018,0.09,1.069056749,0.1802001501,117,0.025
P164-CASE-004,val,0.028,0.035,1.067317679,0.2175516512,117,0.025
P164-CASE-005,test,0.028,0.052,1.079333185,0.2175516512,117,0.025
P164-CASE-006,train,0.028,0.07,1.054037054,0.201414744,117,0.025
P164-CASE-007,train,0.028,0.09,1.003326453,0.1839771277,117,0.025
P164-CASE-008,train,0.04,0.035,1.072743794,0.2108060461,117,0.025
P164-CASE-009,train,0.04,0.052,1.03419039,0.22,117,0.025
P164-CASE-010,val,0.04,0.07,0.9795567118,0.2108060461,117,0.025
P164-CASE-011,test,0.04,0.09,0.9345378311,0.1916770633,117,0.025
P164-CASE-012,test,0.056,0.035,1.011289601,0.201414744,117,0.025
P164-CASE-013,train,0.056,0.052,0.9576131087,0.2175516512,117,0.025
P164-CASE-014,train,0.056,0.07,0.9238718341,0.2175516512,117,0.025
P164-CASE-015,train,0.056,0.09,0.9259348254,0.201414744,117,0.025
P164-CASE-016,train,0.075,0.035,0.9394558004,0.1916770633,117,0.025
P164-CASE-017,val,0.075,0.052,0.9200061394,0.2108060461,117,0.025
P164-CASE-018,test,0.075,0.07,0.938178841,0.22,117,0.025
P164-CASE-019,train,0.075,0.09,0.9854269997,0.2108060461,117,0.025
P164-CASE-020,train,0.095,0.035,0.923286058,0.1839771277,117,0.025
P164-CASE-021,train,0.095,0.052,0.9559451566,0.201414744,117,0.025
P164-CASE-022,train,0.095,0.07,1.009323936,0.2175516512,117,0.025
P164-CASE-023,val,0.095,0.09,1.058317523,0.2175516512,117,0.025
