sampler_id,scenario,seed,point_budget,high_residual_recall,hot_recall,gradient_recall,boundary_fraction,coverage_uniformity,score
uniform_grid_control,validation_nominal,165,256,0.0535714286,0.0535714286,0.0513392857,0.2265625,1,0.1855803571
uniform_grid_control,validation_nominal,166,256,0.0535714286,0.0535714286,0.0513392857,0.2265625,1,0.1855803571
uniform_grid_control,validation_nominal,167,256,0.0535714286,0.0535714286,0.0513392857,0.2265625,1,0.1855803571
jittered_stratified_control,validation_nominal,165,256,0.0625,0.0558035714,0.0669642857,0.1953125,1,0.1932589286
jittered_stratified_control,validation_nominal,166,256,0.0491071429,0.0558035714,0.0491071429,0.16796875,1,0.1837053571
jittered_stratified_control,validation_nominal,167,256,0.0513392857,0.0625,0.0513392857,0.171875,1,0.1866071429
residual_density_adaptive,validation_nominal,165,256,0.2834821429,0.2455357143,0.2790178571,0.109375,1,0.3673809524
residual_density_adaptive,validation_nominal,166,256,0.3013392857,0.234375,0.28125,0.1328125,1,0.38
residual_density_adaptive,validation_nominal,167,256,0.2901785714,0.2053571429,0.2857142857,0.1015625,1,0.3576190476
rad_rar_d_residual_gradient,validation_nominal,165,256,0.2857142857,0.1785714286,0.2678571429,0.11328125,1,0.353735119
rad_rar_d_residual_gradient,validation_nominal,166,256,0.2946428571,0.1964285714,0.2901785714,0.1328125,1,0.3708035714
rad_rar_d_residual_gradient,validation_nominal,167,256,0.3035714286,0.1964285714,0.2946428571,0.09765625,1,0.360639881
failure_informed_hot_gradient,validation_nominal,165,256,0.3683035714,0.2589285714,0.3482142857,0.2265625,1,0.4282589286
failure_informed_hot_gradient,validation_nominal,166,256,0.3794642857,0.2723214286,0.3370535714,0.23828125,1,0.4334375
failure_informed_hot_gradient,validation_nominal,167,256,0.3816964286,0.296875,0.3459821429,0.19140625,1,0.4417410714
uniform_grid_control,test_shifted,165,256,0.0535714286,0.0558035714,0.0535714286,0.2265625,1,0.1865625
uniform_grid_control,test_shifted,166,256,0.0535714286,0.0558035714,0.0535714286,0.2265625,1,0.1865625
uniform_grid_control,test_shifted,167,256,0.0535714286,0.0558035714,0.0535714286,0.2265625,1,0.1865625
jittered_stratified_control,test_shifted,165,256,0.0558035714,0.0625,0.0669642857,0.1953125,1,0.1919196429
jittered_stratified_control,test_shifted,166,256,0.0558035714,0.0625,0.0513392857,0.16796875,1,0.1884821429
jittered_stratified_control,test_shifted,167,256,0.0580357143,0.0691964286,0.0580357143,0.171875,1,0.1923660714
residual_density_adaptive,test_shifted,165,256,0.3415178571,0.2433035714,0.2946428571,0.11328125,1,0.3973065476
residual_density_adaptive,test_shifted,166,256,0.3080357143,0.2410714286,0.2924107143,0.140625,1,0.3867410714
residual_density_adaptive,test_shifted,167,256,0.34375,0.2566964286,0.3013392857,0.1015625,1,0.3948511905
rad_rar_d_residual_gradient,test_shifted,165,256,0.3035714286,0.2299107143,0.2834821429,0.1171875,1,0.3785714286
rad_rar_d_residual_gradient,test_shifted,166,256,0.2857142857,0.2165178571,0.2924107143,0.12890625,1,0.3719642857
rad_rar_d_residual_gradient,test_shifted,167,256,0.2790178571,0.2276785714,0.2611607143,0.1015625,1,0.3524404762
failure_informed_hot_gradient,test_shifted,165,256,0.3616071429,0.3214285714,0.3214285714,0.21875,1,0.4333035714
failure_informed_hot_gradient,test_shifted,166,256,0.3638392857,0.3058035714,0.3415178571,0.22265625,1,0.4352232143
failure_informed_hot_gradient,test_shifted,167,256,0.3638392857,0.2946428571,0.3526785714,0.17578125,1,0.4352232143
