variant_id,seed,split,steps,sensor_count,collocation_count,temperature_rmse,hot_q90_rmse,gradient_q90_rmse,residual_rmse,selection_score
data_only_tiny_mlp_no_residual,167,val,650,72,0,0.0698063302,0.0951579974,0.0106143647,1.717236772,0.1209465358
data_only_tiny_mlp_no_residual,167,test,650,72,0,0.0703205876,0.0955480837,0.0116107177,1.727678379,0.1218643919
data_only_tiny_mlp_no_residual,168,val,650,72,0,0.0417637189,0.0752089461,0.0050924456,1.161068798,0.0787458543
data_only_tiny_mlp_no_residual,168,test,650,72,0,0.0431908739,0.0782906588,0.0054952031,1.179643895,0.0812824775
data_only_tiny_mlp_no_residual,169,val,650,72,0,0.0476097416,0.0784787483,0.0164800475,1.295476182,0.0891335785
data_only_tiny_mlp_no_residual,169,test,650,72,0,0.0477267771,0.081788263,0.0181454606,1.301309747,0.0904153082
uniform_grid_pinn,167,val,650,72,192,0.024847383,0.0447219613,0.008922952,0.5535413964,0.0456694371
uniform_grid_pinn,167,test,650,72,192,0.0252349641,0.0451938813,0.0097155492,0.5584988547,0.0463682496
uniform_grid_pinn,168,val,650,72,192,0.0164736806,0.0345362837,0.0065807502,0.4201697926,0.032397411
uniform_grid_pinn,168,test,650,72,192,0.0165440187,0.0347376066,0.0071082777,0.4148701582,0.0325177144
uniform_grid_pinn,169,val,650,72,192,0.0282764952,0.0509190685,0.007480827,0.7803840797,0.0538341475
uniform_grid_pinn,169,test,650,72,192,0.0283830759,0.0516388445,0.0081382197,0.7757273214,0.0541494298
wrong_prior_failure_sampler_control,167,val,650,72,192,0.1689989923,0.2061151687,0.0049946996,3.37454602,0.2718951798
wrong_prior_failure_sampler_control,167,test,650,72,192,0.1680205492,0.2128636992,0.0053156519,3.353155011,0.272331147
wrong_prior_failure_sampler_control,168,val,650,72,192,0.0948561742,0.2282219466,0.0035811475,2.852371394,0.1952344039
wrong_prior_failure_sampler_control,168,test,650,72,192,0.0943197477,0.2235364034,0.0038753742,2.830362689,0.193240595
wrong_prior_failure_sampler_control,169,val,650,72,192,0.1121306932,0.2002418717,0.0118469176,2.874661633,0.2070881232
wrong_prior_failure_sampler_control,169,test,650,72,192,0.1112465966,0.1988374633,0.0122145988,2.851803788,0.2055652091
failure_informed_hot_gradient_pinn,167,val,650,72,192,0.0901062848,0.0579660252,0.0079266057,1.487691848,0.1281021597
failure_informed_hot_gradient_pinn,167,test,650,72,192,0.0897142814,0.0677419353,0.0081314677,1.481726925,0.1300953893
failure_informed_hot_gradient_pinn,168,val,650,72,192,0.0467589914,0.0761977788,0.0239707834,0.8019838189,0.0814338109
failure_informed_hot_gradient_pinn,168,test,650,72,192,0.047248089,0.0731385877,0.0243814569,0.8047609759,0.0812613691
failure_informed_hot_gradient_pinn,169,val,650,72,192,0.050034891,0.0683126884,0.0078466196,1.09395118,0.0846993238
failure_informed_hot_gradient_pinn,169,test,650,72,192,0.0500514584,0.0730891625,0.0082269413,1.089444104,0.0858994517
