case_id,split,center_shift,source_width,closure_coeff,source_amplitude,ambient,sensor_count,noise_std
P169-CASE-000,train,-0.045,0.036,-0.115,0.88,0.175,108,0.018
P169-CASE-001,val,-0.045,0.036,-0.045,0.8622687876,0.1747009987,108,0.018
P169-CASE-002,train,-0.045,0.036,0.035,0.8461214516,0.1738159149,108,0.018
P169-CASE-003,test,-0.045,0.036,0.105,0.8330003854,0.1723800342,108,0.018
P169-CASE-004,train,-0.045,0.054,-0.115,0.9087655323,0.1681045346,108,0.018
P169-CASE-005,test,-0.045,0.054,-0.045,0.8919201598,0.1704506006,108,0.018
P169-CASE-006,train,-0.045,0.054,0.035,0.874009995,0.1723800342,108,0.018
P169-CASE-007,train,-0.045,0.054,0.105,0.8566348995,0.1738159149,108,0.018
P169-CASE-008,train,-0.045,0.074,-0.115,0.9304882591,0.1537577975,108,0.018
P169-CASE-009,train,-0.045,0.074,-0.045,0.9186530612,0.1565919686,108,0.018
P169-CASE-010,val,-0.045,0.074,0.035,0.9033651005,0.1595620072,108,0.018
P169-CASE-011,train,-0.045,0.074,0.105,0.885990005,0.1625495071,108,0.018
P169-CASE-012,val,-0.045,0.096,-0.115,0.9398496992,0.1451501126,108,0.018
P169-CASE-013,train,-0.045,0.096,-0.045,0.9359223452,0.1458666649,108,0.018
P169-CASE-014,test,-0.045,0.096,0.035,0.9269996146,0.1471466687,108,0.018
P169-CASE-015,train,-0.045,0.096,0.105,0.9138785484,0.1489390943,108,0.018
P169-CASE-016,val,-0.02,0.036,-0.115,0.9304882591,0.1738159149,108,0.018
P169-CASE-017,train,-0.02,0.036,-0.045,0.9186530612,0.1723800342,108,0.018
P169-CASE-018,test,-0.02,0.036,0.035,0.9033651005,0.1704506006,108,0.018
P169-CASE-019,train,-0.02,0.036,0.105,0.885990005,0.1681045346,108,0.018
P169-CASE-020,test,-0.02,0.054,-0.115,0.9398496992,0.1723800342,108,0.018
P169-CASE-021,train,-0.02,0.054,-0.045,0.9359223452,0.1738159149,108,0.018
P169-CASE-022,train,-0.02,0.054,0.035,0.9269996146,0.1747009987,108,0.018
P169-CASE-023,val,-0.02,0.054,0.105,0.9138785484,0.175,108,0.018
P169-CASE-024,train,-0.02,0.074,-0.115,0.9345578456,0.1595620072,108,0.018
P169-CASE-025,val,-0.02,0.074,-0.045,0.9394998886,0.1625495071,108,0.018
P169-CASE-026,train,-0.02,0.074,0.035,0.9391269838,0.1654353663,108,0.018
P169-CASE-027,test,-0.02,0.074,0.105,0.9334724416,0.1681045346,108,0.018
P169-CASE-028,train,-0.02,0.096,-0.115,0.9159083286,0.1471466687,108,0.018
P169-CASE-029,test,-0.02,0.096,-0.045,0.9285097842,0.1489390943,108,0.018
P169-CASE-030,train,-0.02,0.096,0.035,0.9367780053,0.1511724832,108,0.018
P169-CASE-031,train,-0.02,0.096,0.105,0.9399744162,0.1537577975,108,0.018
P169-CASE-032,train,0,0.036,-0.115,0.9345578456,0.1704506006,108,0.018
P169-CASE-033,test,0,0.036,-0.045,0.9394998886,0.1681045346,108,0.018
P169-CASE-034,train,0,0.036,0.035,0.9391269838,0.1654353663,108,0.018
P169-CASE-035,train,0,0.036,0.105,0.9334724416,0.1625495071,108,0.018
P169-CASE-036,train,0,0.054,-0.115,0.9159083286,0.1747009987,108,0.018
P169-CASE-037,train,0,0.054,-0.045,0.9285097842,0.175,108,0.018
P169-CASE-038,val,0,0.054,0.035,0.9367780053,0.1747009987,108,0.018
P169-CASE-039,train,0,0.054,0.105,0.9399744162,0.1738159149,108,0.018
P169-CASE-040,val,0,0.074,-0.115,0.8884672005,0.1654353663,108,0.018
P169-CASE-041,train,0,0.074,-0.045,0.9056427928,0.1681045346,108,0.018
P169-CASE-042,test,0,0.074,0.035,0.9205277908,0.1704506006,108,0.018
P169-CASE-043,train,0,0.074,0.105,0.931792562,0.1723800342,108,0.018
P169-CASE-044,test,0,0.096,-0.115,0.8589530063,0.1511724832,108,0.018
P169-CASE-045,train,0,0.096,-0.045,0.8764975514,0.1537577975,108,0.018
P169-CASE-046,train,0,0.096,0.035,0.8943549598,0.1565919686,108,0.018
P169-CASE-047,val,0,0.096,0.105,0.9109300823,0.1595620072,108,0.018
P169-CASE-048,test,0.026,0.036,-0.115,0.8884672005,0.1654353663,108,0.018
P169-CASE-049,train,0.026,0.036,-0.045,0.9056427928,0.1625495071,108,0.018
P169-CASE-050,train,0.026,0.036,0.035,0.9205277908,0.1595620072,108,0.018
P169-CASE-051,val,0.026,0.036,0.105,0.931792562,0.1565919686,108,0.018
P169-CASE-052,train,0.026,0.054,-0.115,0.8589530063,0.1747009987,108,0.018
P169-CASE-053,val,0.026,0.054,-0.045,0.8764975514,0.1738159149,108,0.018
P169-CASE-054,train,0.026,0.054,0.035,0.8943549598,0.1723800342,108,0.018
P169-CASE-055,test,0.026,0.054,0.105,0.9109300823,0.1704506006,108,0.018
