seed,case_id,split,variant_id,family,field_rmse,hot_q90_rmse,gradient_q90_rmse,closure_abs_error,coverage90_mean,selection_score
171,P169-CASE-001,val,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0476278832,0.0941383975,0.1284244778,0.010103451,1,0.0888755988
171,P169-CASE-001,val,posterior_only_calibrated_bayesian_no_neural,control,0.0476278832,0.0941383975,0.1284244778,0.0099569885,1,0.0887657519
171,P169-CASE-001,val,grid_least_squares_source_closure_control,control,0.047630225,0.0941430096,0.1284308129,0.0099566716,0,0.1067694119
171,P169-CASE-001,val,no_closure_source_control,control,0.0477956635,0.0931072323,0.1267987562,0.045,0,0.1328469856
171,P169-CASE-001,val,wrong_source_prior_control,control,0.9744366732,1.778361953,2.435797113,0.6150681114,0,2.054989859
171,P169-CASE-001,val,data_only_sensor_regression_control,control,2.408764012,5.432620397,3.959363002,0.045,0,3.944974391
171,P169-CASE-001,val,fixed_nominal_source_closure_control,control,1.23511825,2.141169319,2.748031142,1.610085564,0,3.165719401
171,P169-CASE-003,test,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0461787837,0.0989791031,0.1245682126,0.0251127864,1,0.0992660154
171,P169-CASE-003,test,posterior_only_calibrated_bayesian_no_neural,control,0.0461787837,0.0989791031,0.1245682126,0.0109852835,1,0.0886703882
171,P169-CASE-003,test,grid_least_squares_source_closure_control,control,0.0461787837,0.0989791031,0.1245682126,0.0109852835,0,0.1066703882
171,P169-CASE-003,test,no_closure_source_control,control,0.0482288769,0.1039805192,0.1302038843,0.105,0,0.1807953691
171,P169-CASE-003,test,wrong_source_prior_control,control,0.944099842,1.796188746,2.309854133,0.6120216507,0,2.013339242
171,P169-CASE-003,test,data_only_sensor_regression_control,control,2.329974376,5.235592673,3.534572051,0.105,0,3.829300115
171,P169-CASE-003,test,fixed_nominal_source_closure_control,control,1.198083806,2.127301499,2.577321232,1.581837049,0,3.087654016
171,P169-CASE-005,test,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0408313959,0.0758493434,0.1010472745,0.0025091519,1,0.069987856
171,P169-CASE-005,test,posterior_only_calibrated_bayesian_no_neural,control,0.0408313959,0.0758493434,0.1010472745,0.0044651708,1,0.0714548702
171,P169-CASE-005,test,grid_least_squares_source_closure_control,control,0.040878136,0.0759412427,0.1011383259,0.0042436484,0,0.0893629534
171,P169-CASE-005,test,no_closure_source_control,control,0.0409130635,0.0746232544,0.0980459048,0.045,0,0.1193923048
171,P169-CASE-005,test,wrong_source_prior_control,control,0.8154107341,1.326118563,1.798796559,1.232565528,0,2.204938248
171,P169-CASE-005,test,data_only_sensor_regression_control,control,2.223878774,4.725628774,3.106953853,0.045,0,3.533449914
171,P169-CASE-005,test,fixed_nominal_source_closure_control,control,1.078614363,1.879217218,2.398175728,0.8925214464,0,2.383666464
171,P169-CASE-010,val,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.031941586,0.0445171948,0.0705905316,0.0317405298,0.6666666667,0.0763761421
171,P169-CASE-010,val,posterior_only_calibrated_bayesian_no_neural,control,0.031941586,0.0445171948,0.0705905316,0.0618856477,0.6666666667,0.0989849805
171,P169-CASE-010,val,grid_least_squares_source_closure_control,control,0.031956881,0.0445309921,0.0706185811,0.0619761103,0,0.1144070203
171,P169-CASE-010,val,no_closure_source_control,control,0.0348255561,0.0535974038,0.0794003537,0.035,0,0.0997350722
171,P169-CASE-010,val,wrong_source_prior_control,control,0.6590841759,0.8898482107,1.254199453,1.490135668,0,2.100075514
171,P169-CASE-010,val,data_only_sensor_regression_control,control,1.943262979,3.865515147,2.232057301,0.035,0,2.985821738
171,P169-CASE-010,val,fixed_nominal_source_closure_control,control,0.9351892094,1.617818902,2.10595145,0.0142350544,0,1.500024426
171,P169-CASE-012,val,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0244762072,0.0306322958,0.0490207119,0.021774847,0.6666666667,0.0565025395
