seed,variant_id,split,case_count,field_rmse_mean,closure_abs_error_mean,selection_score_mean
171,calibrated_hidden_source_closure_parameter_head,val,16,0.0245230333,0.0250702117,0.0604787397
171,calibrated_hidden_source_closure_parameter_head,test,16,0.0246828665,0.0178274375,0.0554067997
171,data_only_sensor_regression_control,val,16,2.066617329,0.075,3.286978925
171,data_only_sensor_regression_control,test,16,2.066771954,0.075,3.281779511
171,fixed_nominal_source_closure_control,val,16,0.7381969586,0.8301852046,1.803450157
171,fixed_nominal_source_closure_control,test,16,0.7072638775,0.8374386004,1.758906848
171,grid_least_squares_source_closure_control,val,16,0.0266390154,0.0282463834,0.0830642092
171,grid_least_squares_source_closure_control,test,16,0.0264025016,0.0257209561,0.0812317175
171,no_closure_source_control,val,16,0.0283440386,0.075,0.1200962177
171,no_closure_source_control,test,16,0.0291535945,0.075,0.121912791
171,posterior_only_calibrated_bayesian_no_neural,val,16,0.0245230333,0.0263031789,0.0614034651
171,posterior_only_calibrated_bayesian_no_neural,test,16,0.0246828665,0.0210502497,0.0578239088
171,wrong_source_prior_control,val,16,0.7767623361,0.7971526025,1.812249076
171,wrong_source_prior_control,test,16,0.7736275975,0.8084723704,1.819380889
172,calibrated_hidden_source_closure_parameter_head,val,16,0.0245879018,0.0248454496,0.0600441783
172,calibrated_hidden_source_closure_parameter_head,test,16,0.0261130535,0.0166381303,0.0563894501
172,data_only_sensor_regression_control,val,16,2.066613174,0.075,3.28726739
172,data_only_sensor_regression_control,test,16,2.066799318,0.075,3.28190392
172,fixed_nominal_source_closure_control,val,16,0.7381911253,0.8325791006,1.80522333
172,fixed_nominal_source_closure_control,test,16,0.7072813596,0.8209217235,1.74675904
172,grid_least_squares_source_closure_control,val,16,0.0263593053,0.0298920754,0.0837698416
172,grid_least_squares_source_closure_control,test,16,0.0264721547,0.0204001969,0.077412466
172,no_closure_source_control,val,16,0.0277117033,0.075,0.119048317
172,no_closure_source_control,test,16,0.0290442869,0.075,0.1216667374
172,posterior_only_calibrated_bayesian_no_neural,val,16,0.0245879018,0.0252303145,0.0603328269
172,posterior_only_calibrated_bayesian_no_neural,test,16,0.0261130535,0.0194877949,0.0585266985
172,wrong_source_prior_control,val,16,0.7769708457,0.8181741098,1.827685794
172,wrong_source_prior_control,test,16,0.7736254997,0.815147635,1.824001714
173,calibrated_hidden_source_closure_parameter_head,val,16,0.0241648982,0.029212299,0.0628133861
173,calibrated_hidden_source_closure_parameter_head,test,16,0.0261639107,0.0173012061,0.0571927549
173,data_only_sensor_regression_control,val,16,2.066657765,0.075,3.288125349
173,data_only_sensor_regression_control,test,16,2.066829768,0.075,3.282353949
173,fixed_nominal_source_closure_control,val,16,0.7382018019,0.8184535147,1.794732134
173,fixed_nominal_source_closure_control,test,16,0.7072683129,0.823379128,1.748596414
173,grid_least_squares_source_closure_control,val,16,0.0261214975,0.032601205,0.0855214306
173,grid_least_squares_source_closure_control,test,16,0.0266539018,0.0216704657,0.0787602577
173,no_closure_source_control,val,16,0.0282112666,0.075,0.1199857796
173,no_closure_source_control,test,16,0.028989754,0.075,0.1218050729
173,posterior_only_calibrated_bayesian_no_neural,val,16,0.0241648982,0.0321381578,0.0650077802
173,posterior_only_calibrated_bayesian_no_neural,test,16,0.0261639107,0.0207199662,0.0597568249
173,wrong_source_prior_control,val,16,0.7740322404,0.8094236169,1.817170643
173,wrong_source_prior_control,test,16,0.7739944024,0.8272395165,1.834717502
