variant_id,family,split,seed_count,case_count,field_rmse_mean,hot_q90_rmse_mean,gradient_q90_rmse_mean,closure_abs_error_mean,coverage90_mean,selection_score_mean,selection_score_std
calibrated_hidden_source_closure_parameter_head,mechanism_candidate,val,3,48,0.0244252778,0.0411811,0.0572416905,0.0263759868,0.8819444444,0.0611121014,0.0214938526
calibrated_hidden_source_closure_parameter_head,mechanism_candidate,test,3,48,0.0256532769,0.0455446368,0.0612577044,0.0172555913,0.9375,0.0563296682,0.0220509477
data_only_sensor_regression_control,control,val,3,48,2.066629422,4.347394932,2.750988124,0.075,0,3.287457221,0.655957135
data_only_sensor_regression_control,control,test,3,48,2.066800347,4.321894152,2.745832829,0.075,0,3.28201246,0.6458761195
fixed_nominal_source_closure_control,control,val,3,48,0.7381966286,1.302007316,1.622326603,0.8270726066,0,1.801135207,0.8769404657
fixed_nominal_source_closure_control,control,test,3,48,0.7072711833,1.235917585,1.565312042,0.827246484,0,1.751420767,0.7141901629
grid_least_squares_source_closure_control,control,val,3,48,0.0263732727,0.0444826802,0.0616376905,0.0302465546,0,0.0841184938,0.0231563872
grid_least_squares_source_closure_control,control,test,3,48,0.0265095193,0.0468583864,0.0630571244,0.0225972062,0,0.0791348137,0.0254641775
no_closure_source_control,control,val,3,48,0.0280890029,0.0453651882,0.0629806427,0.075,0,0.1197101048,0.031989168
no_closure_source_control,control,test,3,48,0.0290625452,0.0494574023,0.0659084149,0.075,0,0.1217948671,0.0370843219
posterior_only_calibrated_bayesian_no_neural,control,val,3,48,0.0244252778,0.0411811,0.0572416905,0.0278905504,0.8819444444,0.0622480241,0.0252675588
posterior_only_calibrated_bayesian_no_neural,control,test,3,48,0.0256532769,0.0455446368,0.0612577044,0.0204193369,0.9375,0.0587024774,0.0254347314
wrong_source_prior_control,control,val,3,48,0.7759218074,1.241204414,1.686848984,0.8082501097,0,1.819035171,0.2635866881
wrong_source_prior_control,control,test,3,48,0.7737491665,1.259373681,1.676945851,0.816953174,0,1.826033368,0.2564821358
