seed,case_id,split,variant_id,start_count,max_rounds_per_start,executed_rounds_total,function_evaluations_total,train_objective,learned_center_shift,learned_source_width,raw_closure_coeff,calibrated_closure_coeff
171,P169-CASE-000,train,tiny_explicit_latent_hidden_closure_smoke,2,48,48,386,0.0004862902,-0.0450930668,0.0361112046,-0.0889676745,-0.0922305256
171,P169-CASE-000,train,uniform_grid_latent_trainable_control,1,48,28,225,0.000486303,-0.0450938773,0.03611409,-0.0890508976,-0.0924461478
171,P169-CASE-001,val,tiny_explicit_latent_hidden_closure_smoke,3,48,70,563,0.0005479374,-0.0448660838,0.0359660743,-0.0303834382,-0.0388698896
171,P169-CASE-001,val,uniform_grid_latent_trainable_control,1,48,28,225,0.0005479374,-0.0448660838,0.0359660743,-0.0303834382,-0.0396422937
171,P169-CASE-002,train,tiny_explicit_latent_hidden_closure_smoke,3,48,69,555,0.0007009344,-0.0448653339,0.0359934399,0.0416835338,0.0272824521
171,P169-CASE-002,train,uniform_grid_latent_trainable_control,1,48,27,217,0.0007009344,-0.0448653339,0.0359934399,0.0416835338,0.0252345773
171,P169-CASE-003,test,tiny_explicit_latent_hidden_closure_smoke,2,48,48,386,0.0005585191,-0.0449526639,0.036148673,0.0945592872,0.0763917507
171,P169-CASE-003,test,uniform_grid_latent_trainable_control,1,48,27,217,0.0005585196,-0.0449525061,0.0361485242,0.0945621016,0.0728487896
171,P169-CASE-004,train,tiny_explicit_latent_hidden_closure_smoke,3,48,68,547,0.0006035209,-0.045031097,0.0538815819,-0.1231669943,-0.1257302465
171,P169-CASE-004,train,uniform_grid_latent_trainable_control,1,48,26,209,0.000603525,-0.0450286436,0.0538810093,-0.1232208913,-0.1213254117
171,P169-CASE-005,test,tiny_explicit_latent_hidden_closure_smoke,3,48,66,531,0.0005051731,-0.045182598,0.053976436,-0.0507124982,-0.0548450375
171,P169-CASE-005,test,uniform_grid_latent_trainable_control,1,48,26,209,0.0005051733,-0.0451826585,0.0539759495,-0.0506964942,-0.0560348269
171,P169-CASE-006,train,tiny_explicit_latent_hidden_closure_smoke,3,48,66,531,0.0006394845,-0.0449932911,0.0538770236,0.0705772441,0.0529635614
171,P169-CASE-006,train,uniform_grid_latent_trainable_control,1,48,27,217,0.0006394857,-0.0449965314,0.0538826035,0.0705076688,0.0530683092
171,P169-CASE-007,train,tiny_explicit_latent_hidden_closure_smoke,3,48,65,523,0.0006399438,-0.0449269121,0.0539048254,0.0944174949,0.077830138
171,P169-CASE-007,train,uniform_grid_latent_trainable_control,1,48,26,209,0.0006399484,-0.0449188742,0.0539050322,0.0941944531,0.07439589
171,P169-CASE-008,train,tiny_explicit_latent_hidden_closure_smoke,3,48,66,531,0.0005179542,-0.0449061189,0.0742849946,-0.1664245303,-0.1356135988
171,P169-CASE-008,train,uniform_grid_latent_trainable_control,1,48,26,209,0.0005179557,-0.0449046247,0.0742865746,-0.1665228782,-0.1581443142
171,P169-CASE-009,train,tiny_explicit_latent_hidden_closure_smoke,3,48,65,523,0.0004422846,-0.0450518902,0.0744215266,-0.0442149537,-0.0490822259
171,P169-CASE-009,train,uniform_grid_latent_trainable_control,1,48,27,217,0.0004422851,-0.0450527715,0.0744184219,-0.0440986094,-0.0479302755
171,P169-CASE-010,val,tiny_explicit_latent_hidden_closure_smoke,3,48,65,523,0.0006564563,-0.0450781081,0.0740777703,0.0222892417,0.0262384237
171,P169-CASE-010,val,uniform_grid_latent_trainable_control,1,48,25,201,0.0006564563,-0.0450781081,0.0740777703,0.0222892417,0.0117945317
171,P169-CASE-011,train,tiny_explicit_latent_hidden_closure_smoke,3,48,67,539,0.000601147,-0.0452447435,0.0742335312,0.1077295032,0.1084926743
171,P169-CASE-011,train,uniform_grid_latent_trainable_control,1,48,27,217,0.000601147,-0.0452447435,0.0742335312,0.1077295032,0.0887178509
171,P169-CASE-012,val,tiny_explicit_latent_hidden_closure_smoke,3,48,66,531,0.0004620687,-0.0449387081,0.0954443917,-0.1205210427,-0.1109037384
171,P169-CASE-012,val,uniform_grid_latent_trainable_control,1,48,28,225,0.0004620687,-0.0449387081,0.0954443917,-0.1205210427,-0.1144986216
171,P169-CASE-013,train,tiny_explicit_latent_hidden_closure_smoke,3,48,68,547,0.000587897,-0.0449965314,0.0961197272,-0.0448287502,-0.0386663347
171,P169-CASE-013,train,uniform_grid_latent_trainable_control,1,48,26,209,0.000587897,-0.0449965314,0.0961197272,-0.0448287502,-0.0462917489
171,P169-CASE-014,test,tiny_explicit_latent_hidden_closure_smoke,3,48,65,523,0.0005148027,-0.0447989893,0.0961420232,0.0391369537,0.081427573
171,P169-CASE-014,test,uniform_grid_latent_trainable_control,1,48,26,209,0.0005148057,-0.044800427,0.0961439011,0.0391460943,0.0293106918
171,P169-CASE-015,train,tiny_explicit_latent_hidden_closure_smoke,2,48,48,386,0.0006826152,-0.0451423735,0.0958519891,0.1234366642,0.1124983488
171,P169-CASE-015,train,uniform_grid_latent_trainable_control,1,48,27,217,0.0006826152,-0.0451423735,0.0958519891,0.1234366642,0.1051458612
171,P169-CASE-016,val,tiny_explicit_latent_hidden_closure_smoke,3,48,66,531,0.0006697936,-0.0199649754,0.0361818388,-0.1135492263,-0.1182096203
171,P169-CASE-016,val,uniform_grid_latent_trainable_control,1,48,26,209,0.0006697975,-0.0199619648,0.0361786458,-0.1134966824,-0.1136010129
171,P169-CASE-017,train,tiny_explicit_latent_hidden_closure_smoke,3,48,63,507,0.000547157,-0.0199144858,0.0360892354,-0.012523273,-0.02612253
171,P169-CASE-017,train,uniform_grid_latent_trainable_control,1,48,25,201,0.0005471594,-0.0199098353,0.0360962992,-0.0127972379,-0.0229593534
171,P169-CASE-018,test,tiny_explicit_latent_hidden_closure_smoke,3,48,66,531,0.000739315,-0.0200187196,0.0360080951,0.0391128159,0.0202032797
171,P169-CASE-018,test,uniform_grid_latent_trainable_control,1,48,25,201,0.000739315,-0.0200187196,0.0360080951,0.0391128159,0.0237565667
