seed,variant_id,split,case_count,field_rmse_mean,closure_abs_error_mean,selection_score_mean
171,data_only_tiny_control,val,16,2.066617329,0.075,3.286978925
171,data_only_tiny_control,test,16,2.066771954,0.075,3.281779511
171,grid_least_squares_source_closure_control,val,16,0.0266390154,0.0282463834,0.0830642092
171,grid_least_squares_source_closure_control,test,16,0.0264025016,0.0257209561,0.0812317175
171,low_capacity_explicit_latent_hidden_closure_head,val,16,0.0066192266,0.0185738638,0.0265341922
171,low_capacity_explicit_latent_hidden_closure_head,test,16,0.006200351,0.0153261846,0.022859243
171,no_closure_source_control,val,16,0.0283440386,0.075,0.1200962177
171,no_closure_source_control,test,16,0.0291535945,0.075,0.121912791
171,phase171_numpy_closure_head_control,val,16,0.0245230333,0.0250702117,0.0604787397
171,phase171_numpy_closure_head_control,test,16,0.0246828665,0.0178274375,0.0554067997
171,phase173_tiny_explicit_latent_hidden_closure_smoke,val,16,0.006663995,0.0183809643,0.026613519
171,phase173_tiny_explicit_latent_hidden_closure_smoke,test,16,0.0058561301,0.0151544788,0.0221824065
171,posterior_only_calibrated_bayesian_no_neural,val,16,0.0245230333,0.0263031789,0.0614034651
171,posterior_only_calibrated_bayesian_no_neural,test,16,0.0246828665,0.0210502497,0.0578239088
171,uniform_grid_latent_trainable_control,val,16,0.0066640643,0.017654697,0.0429012018
171,uniform_grid_latent_trainable_control,test,16,0.0058593134,0.0121950494,0.0373030865
171,wrong_source_prior_control,val,16,0.7767623361,0.7971526025,1.812249076
171,wrong_source_prior_control,test,16,0.7736275975,0.8084723704,1.819380889
172,data_only_tiny_control,val,16,2.066613174,0.075,3.28726739
172,data_only_tiny_control,test,16,2.066799318,0.075,3.28190392
172,grid_least_squares_source_closure_control,val,16,0.0263593053,0.0298920754,0.0837698416
172,grid_least_squares_source_closure_control,test,16,0.0264721547,0.0204001969,0.077412466
172,low_capacity_explicit_latent_hidden_closure_head,val,16,0.0061040196,0.0127979565,0.020873016
172,low_capacity_explicit_latent_hidden_closure_head,test,16,0.006139333,0.016966449,0.0238347259
172,no_closure_source_control,val,16,0.0277117033,0.075,0.119048317
172,no_closure_source_control,test,16,0.0290442869,0.075,0.1216667374
172,phase171_numpy_closure_head_control,val,16,0.0245879018,0.0248454496,0.0600441783
172,phase171_numpy_closure_head_control,test,16,0.0261130535,0.0166381303,0.0563894501
172,phase173_tiny_explicit_latent_hidden_closure_smoke,val,16,0.0055883085,0.0126834291,0.0199192285
172,phase173_tiny_explicit_latent_hidden_closure_smoke,test,16,0.0059120355,0.0168341667,0.0233378705
172,posterior_only_calibrated_bayesian_no_neural,val,16,0.0245879018,0.0252303145,0.0603328269
172,posterior_only_calibrated_bayesian_no_neural,test,16,0.0261130535,0.0194877949,0.0585266985
172,uniform_grid_latent_trainable_control,val,16,0.0055923404,0.0126816573,0.0372583387
172,uniform_grid_latent_trainable_control,test,16,0.0059138408,0.0161140658,0.0404636374
172,wrong_source_prior_control,val,16,0.7769708457,0.8181741098,1.827685794
172,wrong_source_prior_control,test,16,0.7736254997,0.815147635,1.824001714
173,data_only_tiny_control,val,16,2.066657765,0.075,3.288125349
173,data_only_tiny_control,test,16,2.066829768,0.075,3.282353949
173,grid_least_squares_source_closure_control,val,16,0.0261214975,0.032601205,0.0855214306
173,grid_least_squares_source_closure_control,test,16,0.0266539018,0.0216704657,0.0787602577
173,low_capacity_explicit_latent_hidden_closure_head,val,16,0.0070011122,0.016218094,0.0253320352
173,low_capacity_explicit_latent_hidden_closure_head,test,16,0.0065200754,0.0102555522,0.0193538355
173,no_closure_source_control,val,16,0.0282112666,0.075,0.1199857796
173,no_closure_source_control,test,16,0.028989754,0.075,0.1218050729
173,phase171_numpy_closure_head_control,val,16,0.0241648982,0.029212299,0.0628133861
173,phase171_numpy_closure_head_control,test,16,0.0261639107,0.0173012061,0.0571927549
173,phase173_tiny_explicit_latent_hidden_closure_smoke,val,16,0.0065630785,0.0169399003,0.0249394772
173,phase173_tiny_explicit_latent_hidden_closure_smoke,test,16,0.0061167146,0.0101361362,0.0185581798
173,posterior_only_calibrated_bayesian_no_neural,val,16,0.0241648982,0.0321381578,0.0650077802
173,posterior_only_calibrated_bayesian_no_neural,test,16,0.0261639107,0.0207199662,0.0597568249
173,uniform_grid_latent_trainable_control,val,16,0.0065596464,0.0161127444,0.0413168442
173,uniform_grid_latent_trainable_control,test,16,0.0061353116,0.0107388909,0.0365404332
173,wrong_source_prior_control,val,16,0.7740322404,0.8094236169,1.817170643
173,wrong_source_prior_control,test,16,0.7739944024,0.8272395165,1.834717502
