seed,case_id,split,variant_id,start_count,max_rounds_per_start,executed_rounds_total,function_evaluations_total,ridge_alpha,learned_center_shift,learned_source_width,raw_closure_coeff,head_center_shift,head_source_width,head_closure_coeff
171,P169-CASE-000,train,low_capacity_explicit_latent_hidden_closure_head,2,48,48,386,1e-06,-0.0450930668,0.0361112046,-0.0889676745,-0.0451699347,0.0359919011,-0.0937579084
171,P169-CASE-001,val,low_capacity_explicit_latent_hidden_closure_head,3,48,70,563,1e-06,-0.0448660838,0.0359660743,-0.0303834382,-0.0449498879,0.0358709053,-0.0404335946
171,P169-CASE-002,train,low_capacity_explicit_latent_hidden_closure_head,3,48,69,555,1e-06,-0.0448653339,0.0359934399,0.0416835338,-0.0449307881,0.0359254498,0.0256132624
171,P169-CASE-003,test,low_capacity_explicit_latent_hidden_closure_head,2,48,48,386,1e-06,-0.0449526639,0.036148673,0.0945592872,-0.0449920302,0.0360945456,0.0745607259
171,P169-CASE-004,train,low_capacity_explicit_latent_hidden_closure_head,3,48,68,547,1e-06,-0.045031097,0.0538815819,-0.1231669943,-0.0450983048,0.0537642581,-0.1246968683
171,P169-CASE-005,test,low_capacity_explicit_latent_hidden_closure_head,3,48,66,531,1e-06,-0.045182598,0.053976436,-0.0507124982,-0.0452105557,0.0539424713,-0.054188872
171,P169-CASE-006,train,low_capacity_explicit_latent_hidden_closure_head,3,48,66,531,1e-06,-0.0449932911,0.0538770236,0.0705772441,-0.0450129802,0.0538503126,0.0537616548
171,P169-CASE-007,train,low_capacity_explicit_latent_hidden_closure_head,3,48,65,523,1e-06,-0.0449269121,0.0539048254,0.0944174949,-0.0449316447,0.0539120133,0.0785539504
171,P169-CASE-008,train,low_capacity_explicit_latent_hidden_closure_head,3,48,66,531,1e-06,-0.0449061189,0.0742849946,-0.1664245303,-0.0447737952,0.0741620468,-0.1353087129
171,P169-CASE-009,train,low_capacity_explicit_latent_hidden_closure_head,3,48,65,523,1e-06,-0.0450518902,0.0744215266,-0.0442149537,-0.0450676179,0.0743864316,-0.0469977902
171,P169-CASE-010,val,low_capacity_explicit_latent_hidden_closure_head,3,48,65,523,1e-06,-0.0450781081,0.0740777703,0.0222892417,-0.0449555114,0.073961992,0.0262086521
171,P169-CASE-011,train,low_capacity_explicit_latent_hidden_closure_head,3,48,67,539,1e-06,-0.0452447435,0.0742335312,0.1077295032,-0.0450836101,0.0741972491,0.1078721077
171,P169-CASE-012,val,low_capacity_explicit_latent_hidden_closure_head,3,48,66,531,1e-06,-0.0449387081,0.0954443917,-0.1205210427,-0.0449304409,0.0954028106,-0.1085769729
171,P169-CASE-013,train,low_capacity_explicit_latent_hidden_closure_head,3,48,68,547,1e-06,-0.0449965314,0.0961197272,-0.0448287502,-0.0449399742,0.0960571427,-0.0372941382
171,P169-CASE-014,test,low_capacity_explicit_latent_hidden_closure_head,3,48,65,523,1e-06,-0.0447989893,0.0961420232,0.0391369537,-0.0444418802,0.0965366305,0.0876051627
171,P169-CASE-015,train,low_capacity_explicit_latent_hidden_closure_head,2,48,48,386,1e-06,-0.0451423735,0.0958519891,0.1234366642,-0.0450682277,0.095880841,0.1137026962
171,P169-CASE-016,val,low_capacity_explicit_latent_hidden_closure_head,3,48,66,531,1e-06,-0.0199649754,0.0361818388,-0.1135492263,-0.0199645134,0.036151887,-0.1185930691
171,P169-CASE-017,train,low_capacity_explicit_latent_hidden_closure_head,3,48,63,507,1e-06,-0.0199144858,0.0360892354,-0.012523273,-0.0198986897,0.0361049317,-0.0265564185
171,P169-CASE-018,test,low_capacity_explicit_latent_hidden_closure_head,3,48,66,531,1e-06,-0.0200187196,0.0360080951,0.0391128159,-0.0199914163,0.0360536123,0.0198255535
171,P169-CASE-019,train,low_capacity_explicit_latent_hidden_closure_head,3,48,63,507,1e-06,-0.0200397132,0.0359481885,0.115910481,-0.0199997105,0.0360208383,0.088907232
171,P169-CASE-020,test,low_capacity_explicit_latent_hidden_closure_head,3,48,60,483,1e-06,-0.0201304785,0.0541996013,-0.1188755905,-0.020170813,0.054204401,-0.1269196688
171,P169-CASE-021,train,low_capacity_explicit_latent_hidden_closure_head,3,48,64,515,1e-06,-0.0199568207,0.0539620697,-0.0376706784,-0.0199964168,0.054009026,-0.0531274766
171,P169-CASE-022,train,low_capacity_explicit_latent_hidden_closure_head,3,48,64,515,1e-06,-0.0200297435,0.0540710004,0.0487554055,-0.0200395015,0.054150181,0.0263839697
171,P169-CASE-023,val,low_capacity_explicit_latent_hidden_closure_head,3,48,64,515,1e-06,-0.020065352,0.0538607828,0.1070780673,-0.0198197872,0.0540921933,0.1168594892
171,P169-CASE-024,train,low_capacity_explicit_latent_hidden_closure_head,3,48,63,507,1e-06,-0.0201572715,0.0740973659,-0.1359715498,-0.0201151346,0.0739906091,-0.1343234039
171,P169-CASE-025,val,low_capacity_explicit_latent_hidden_closure_head,3,48,62,499,1e-06,-0.0198518169,0.0741398821,-0.0771495994,-0.0197924224,0.0740444931,-0.0780706607
171,P169-CASE-026,train,low_capacity_explicit_latent_hidden_closure_head,3,48,61,491,1e-06,-0.0202052033,0.0739599567,0.0706008299,-0.0201262325,0.0739479107,0.0532793583
171,P169-CASE-027,test,low_capacity_explicit_latent_hidden_closure_head,3,48,65,523,1e-06,-0.0201640976,0.0740847684,0.1122126953,-0.0200675851,0.074079081,0.0922883355
171,P169-CASE-028,train,low_capacity_explicit_latent_hidden_closure_head,2,48,43,346,1e-06,-0.0198479104,0.0958232682,-0.0911444688,-0.0198750112,0.0958293795,-0.0963670438
171,P169-CASE-029,test,low_capacity_explicit_latent_hidden_closure_head,2,48,45,362,1e-06,-0.0202840168,0.095899146,-0.0047315925,-0.0202922557,0.0959466657,-0.0205721594
171,P169-CASE-030,train,low_capacity_explicit_latent_hidden_closure_head,2,48,45,362,1e-06,-0.0201264027,0.0958460236,0.0256557117,-0.020129905,0.0959051775,0.0081414479
171,P169-CASE-031,train,low_capacity_explicit_latent_hidden_closure_head,2,48,45,362,1e-06,-0.0201656302,0.0957541503,0.1532041529,-0.0201455676,0.0958730697,0.1239975818
171,P169-CASE-032,train,low_capacity_explicit_latent_hidden_closure_head,2,48,43,346,1e-06,0.0001310412,0.035797561,-0.0991673412,0.0001513824,0.0358359227,-0.102454506
171,P169-CASE-033,test,low_capacity_explicit_latent_hidden_closure_head,2,48,43,346,1e-06,-4.21486e-05,0.0360583038,-0.041144446,7.3867e-06,0.0361061052,-0.049291958
171,P169-CASE-034,train,low_capacity_explicit_latent_hidden_closure_head,3,48,58,467,1e-06,2.05202e-05,0.0357669536,0.0602528149,7.90809e-05,0.0358766949,0.0426934994
171,P169-CASE-035,train,low_capacity_explicit_latent_hidden_closure_head,2,48,42,338,1e-06,3.8383e-05,0.0358989355,0.1395674678,0.0001198854,0.036029432,0.1156964314
171,P169-CASE-036,train,low_capacity_explicit_latent_hidden_closure_head,3,48,53,427,1e-06,6.37139e-05,0.0540530949,-0.1036868183,4.02793e-05,0.0541005584,-0.1098050885
171,P169-CASE-037,train,low_capacity_explicit_latent_hidden_closure_head,3,48,59,475,1e-06,-0.0001351169,0.0541125975,-0.0442139444,-0.0001381464,0.0541868571,-0.0562299316
171,P169-CASE-038,val,low_capacity_explicit_latent_hidden_closure_head,3,48,54,435,1e-06,-2.26082e-05,0.0539490374,0.0171938687,-2.46737e-05,0.0540555408,-0.0004585928
171,P169-CASE-039,train,low_capacity_explicit_latent_hidden_closure_head,3,48,57,459,1e-06,1.03466e-05,0.0541441487,0.1406928894,4.63025e-05,0.0542848699,0.1135000361
171,P169-CASE-040,val,low_capacity_explicit_latent_hidden_closure_head,3,48,56,451,1e-06,-0.0001486649,0.074183987,-0.1077763564,-7.87771e-05,0.0741459438,-0.1039086924
171,P169-CASE-041,train,low_capacity_explicit_latent_hidden_closure_head,3,48,56,451,1e-06,2.4596e-05,0.0741011554,-0.0653294543,8.43976e-05,0.0740427739,-0.0678118397
171,P169-CASE-042,test,low_capacity_explicit_latent_hidden_closure_head,2,48,34,274,1e-06,-9.13461e-05,0.0737785912,0.0776908647,-1.55433e-05,0.0738064014,0.0607253779
171,P169-CASE-043,train,low_capacity_explicit_latent_hidden_closure_head,2,48,36,290,1e-06,0.0001159311,0.0738407924,0.1004497424,0.0001973509,0.0738656878,0.0829884664
171,P169-CASE-044,test,low_capacity_explicit_latent_hidden_closure_head,2,48,42,338,1e-06,-0.0002082324,0.0958389896,-0.1018626362,-0.0002271591,0.0958788608,-0.107207018
