seed,case_id,split,policy_id,family,selected_count,posterior_trace_before,posterior_trace_after,posterior_trace_contraction,parameter_error_before,parameter_error_after,parameter_error_gain,closure_abs_error_before,closure_abs_error_after,closure_abs_error_gain,duplicate_fraction,boundary_fraction,utility_score
178,P169-CASE-001,val,posterior_entropy_reduction_candidate,acquisition_candidate,12,0,0,0,0.1416143584,0.2893200525,-0.1477056942,0.0310586995,0.0636032529,-0.0325445534,0,0.6666666667,-0.2956354824
178,P169-CASE-001,val,latent_ensemble_disagreement_candidate,acquisition_candidate,12,0,0,0,0.1416143584,0.3562388588,-0.2146245004,0.0310586995,0.0783342538,-0.0472755543,0,0,-0.4295133835
178,P169-CASE-001,val,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,0,0,0,0.1416143584,0.0785977267,0.0630166316,0.0310586995,0.0171170927,0.0139416068,0,0,0.1263875718
178,P169-CASE-001,val,uniform_budget_control,control,12,0,0,0,0.1416143584,0.1519256298,-0.0103112714,0.0310586995,0.0333337443,-0.0022750448,0,0.25,-0.0206523839
178,P169-CASE-001,val,random_budget_control,control,12,0,0,0,0.1416143584,0.0963150213,0.045299337,0.0310586995,0.0210472214,0.0100114782,0,0.0833333333,0.0908060559
178,P169-CASE-001,val,no_new_observation_control,control,0,0,0,0,0.1416143584,0.1416143584,0,0.0310586995,0.0310586995,0,0,0,0
178,P169-CASE-003,test,posterior_entropy_reduction_candidate,acquisition_candidate,12,0,0,0,0.165732323,0.11853473,0.047197593,0.0363787234,0.0259623233,0.0104164,0,0.6666666667,0.0945448659
178,P169-CASE-003,test,latent_ensemble_disagreement_candidate,acquisition_candidate,12,0,0,0,0.165732323,0.3995343244,-0.2338020014,0.0363787234,0.0878634078,-0.0514846844,0,0,-0.4678232942
178,P169-CASE-003,test,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,0,0,0,0.165732323,0.1349433034,0.0307890197,0.0363787234,0.0295862829,0.0067924404,0,0,0.0616637489
178,P169-CASE-003,test,uniform_budget_control,control,12,0,0,0,0.165732323,0.014464162,0.1512681611,0.0363787234,0.002030949,0.0343477744,0,0.25,0.3073944082
178,P169-CASE-003,test,random_budget_control,control,12,0,0,0,0.165732323,0.0444063556,0.1213259675,0.0363787234,0.0094572742,0.0269214492,0,0.1666666667,0.2436961909
178,P169-CASE-003,test,no_new_observation_control,control,0,0,0,0,0.165732323,0.165732323,0,0.0363787234,0.0363787234,0,0,0,0
178,P169-CASE-005,test,posterior_entropy_reduction_candidate,acquisition_candidate,12,0.2315636567,0.2558232964,-0.0242596397,0.369330243,0.5218096486,-0.1524794056,0.0812474991,0.1146702601,-0.033422761,0,0.6666666667,-0.3068270103
178,P169-CASE-005,test,latent_ensemble_disagreement_candidate,acquisition_candidate,12,0.2315636567,0.0349054495,0.1966582072,0.369330243,0.8507272453,-0.4813970024,0.0812474991,0.1869002747,-0.1056527756,0,0.0833333333,-0.9419710709
178,P169-CASE-005,test,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,0.2315636567,0.0884144274,0.1431492293,0.369330243,0.3004750885,0.0688551544,0.0812474991,0.0660755626,0.0151719365,0,0,0.1521334253
178,P169-CASE-005,test,uniform_budget_control,control,12,0.2315636567,0.0934760358,0.1380876209,0.369330243,0.2835470649,0.0857831781,0.0812474991,0.061904703,0.0193427961,0,0.25,0.1875137405
178,P169-CASE-005,test,random_budget_control,control,12,0.2315636567,0.0586412717,0.172922385,0.369330243,0.4835880542,-0.1142578113,0.0812474991,0.1061887167,-0.0249412176,0,0.25,-0.2103347436
178,P169-CASE-005,test,no_new_observation_control,control,0,0.2315636567,0.2315636567,0,0.369330243,0.369330243,0,0.0812474991,0.0812474991,0,0,0,0
178,P169-CASE-010,val,posterior_entropy_reduction_candidate,acquisition_candidate,12,0,0,0,0.3461722988,0.6392391633,-0.2930668644,0.076039605,0.1405685868,-0.0645289817,0,0.3333333333,-0.5863804178
178,P169-CASE-010,val,latent_ensemble_disagreement_candidate,acquisition_candidate,12,0,0,0,0.3461722988,0.4747679375,-0.1285956387,0.076039605,0.1043627199,-0.0283231148,0,0.1666666667,-0.2573370697
178,P169-CASE-010,val,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,0,0,0,0.3461722988,0.6051207327,-0.2589484339,0.076039605,0.1330589201,-0.0570193151,0,0,-0.5181271389
178,P169-CASE-010,val,uniform_budget_control,control,12,0,0,0,0.3461722988,0.0311902273,0.3149820716,0.076039605,0.0053925793,0.0706470258,0,0.25,0.636104916
178,P169-CASE-010,val,random_budget_control,control,12,0,0,0,0.3461722988,0.3049353602,0.0412369386,0.076039605,0.0669514503,0.0090881547,0,0.5,0.0825467326
178,P169-CASE-010,val,no_new_observation_control,control,0,0,0,0,0.3461722988,0.3461722988,0,0.076039605,0.076039605,0,0,0,0
178,P169-CASE-012,val,posterior_entropy_reduction_candidate,acquisition_candidate,12,3.092e-07,0,3.092e-07,0.1802868877,0.3839789884,-0.2036921007,0.0391562036,0.0842385553,-0.0450823517,0,0.1666666667,-0.4086118504
178,P169-CASE-012,val,latent_ensemble_disagreement_candidate,acquisition_candidate,12,3.092e-07,0,3.092e-07,0.1802868877,0.3113654028,-0.1310785151,0.0391562036,0.0682081231,-0.0290519194,0,0.3333333333,-0.2631326635
178,P169-CASE-012,val,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,3.092e-07,0,3.092e-07,0.1802868877,0.1754024753,0.0048844124,0.0391562036,0.0380673165,0.0010888871,0,0.0833333333,0.0098339302
