seed,policy_id,split,case_count,posterior_trace_contraction_mean,parameter_error_gain_mean,closure_abs_error_gain_mean,utility_score_mean
178,hybrid_uncertainty_hot_gradient_candidate,val,16,-0.0313597649,-0.476691497,-0.106481467,-0.9638341418
178,hybrid_uncertainty_hot_gradient_candidate,test,16,0.0219189083,-0.2726392759,-0.0605137528,-0.5455098978
178,latent_ensemble_disagreement_candidate,val,16,-0.0684375051,-0.6449191223,-0.143588236,-1.304436673
178,latent_ensemble_disagreement_candidate,test,16,0.0031866235,-0.5334852506,-0.1180510349,-1.069762201
178,no_new_observation_control,val,16,0,0,0,0
178,no_new_observation_control,test,16,0,0,0,0
178,posterior_entropy_reduction_candidate,val,16,-0.0482387924,-0.5313256492,-0.1184949201,-1.074762802
178,posterior_entropy_reduction_candidate,test,16,-0.0015827573,-0.2123523914,-0.047300061,-0.4275109444
178,random_budget_control,val,16,0.0092932149,-0.0610948116,-0.0141201268,-0.1243478848
178,random_budget_control,test,16,0.041400899,0.0764166803,0.0172812483,0.1591078988
178,uniform_budget_control,val,16,0.0077672883,0.0524138625,0.0118107153,0.1068756607
178,uniform_budget_control,test,16,0.0187728357,0.141212065,0.0311518861,0.2846888307
179,hybrid_uncertainty_hot_gradient_candidate,val,16,-0.0219438823,-0.5794926923,-0.128458596,-1.16558979
179,hybrid_uncertainty_hot_gradient_candidate,test,16,0.0388591336,-0.4479587615,-0.098843386,-0.8933609665
179,latent_ensemble_disagreement_candidate,val,16,-0.0153815399,-0.7484887432,-0.1656588072,-1.503021475
179,latent_ensemble_disagreement_candidate,test,16,-0.0301106478,-0.5723367509,-0.1260322623,-1.148221735
179,no_new_observation_control,val,16,0,0,0,0
179,no_new_observation_control,test,16,0,0,0,0
179,posterior_entropy_reduction_candidate,val,16,-0.0094575539,-0.5970869377,-0.1321635628,-1.198776161
179,posterior_entropy_reduction_candidate,test,16,0.0128977306,-0.3659707331,-0.0807628217,-0.731784695
179,random_budget_control,val,16,0.0248550104,-0.1139600501,-0.0256657801,-0.2281371857
179,random_budget_control,test,16,0.0646028192,0.0088895681,0.0020223249,0.0245422361
179,uniform_budget_control,val,16,0.0181896913,0.0608333606,0.0137989819,0.1253749747
179,uniform_budget_control,test,16,0.0406779858,0.0605244849,0.0134684955,0.1258127177
180,hybrid_uncertainty_hot_gradient_candidate,val,16,-0.0093922247,-0.4797215886,-0.1067509001,-0.965892175
180,hybrid_uncertainty_hot_gradient_candidate,test,16,-0.027742714,-0.4496137165,-0.0994481355,-0.9044249676
180,latent_ensemble_disagreement_candidate,val,16,-0.0287599925,-0.6303688705,-0.1399483535,-1.269373749
180,latent_ensemble_disagreement_candidate,test,16,-0.1479507973,-0.5964471772,-0.1318067579,-1.210363884
180,no_new_observation_control,val,16,0,0,0,0
180,no_new_observation_control,test,16,0,0,0,0
180,posterior_entropy_reduction_candidate,val,16,-0.0106367951,-0.5117179738,-0.1137770774,-1.029950187
180,posterior_entropy_reduction_candidate,test,16,-0.1250770114,-0.3114024061,-0.0689899417,-0.6375007511
180,random_budget_control,val,16,0.0207708779,-0.0841690647,-0.0188816631,-0.1679177184
180,random_budget_control,test,16,0.018227091,0.0974305784,0.0217534625,0.1981326624
180,uniform_budget_control,val,16,0.013846179,0.0389377032,0.0088337806,0.080475869
180,uniform_budget_control,test,16,0.0098909844,0.1337050834,0.0297443279,0.2698956721
