policy_id,family,split,seed_count,case_count,posterior_trace_contraction_mean,parameter_error_gain_mean,closure_abs_error_gain_mean,parameter_error_after_mean,closure_abs_error_after_mean,duplicate_fraction_mean,boundary_fraction_mean,utility_score_mean,utility_score_std
hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,val,3,48,-0.020898624,-0.5119685927,-0.1138969877,0.7865684689,0.1728351497,0,0.0052083333,-1.031772035,0.8556594788
hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,test,3,48,0.0110117759,-0.3900705846,-0.0862684248,0.7984952152,0.1754305897,0,0.0052083333,-0.7810986106,0.9171244104
latent_ensemble_disagreement_candidate,acquisition_candidate,val,3,48,-0.0375263458,-0.6745922453,-0.1497317989,0.9491921215,0.2086699609,0,0.0711805556,-1.358943966,1.355084995
latent_ensemble_disagreement_candidate,acquisition_candidate,test,3,48,-0.0582916072,-0.5674230596,-0.125296685,0.9758476902,0.2144588499,0,0.0833333333,-1.142782607,1.29973591
no_new_observation_control,control,val,3,48,0,0,0,0.2745998762,0.058938162,0,0,0,0
no_new_observation_control,control,test,3,48,0,0,0,0.4084246306,0.0891621649,0,0,0,0
posterior_entropy_reduction_candidate,acquisition_candidate,val,3,48,-0.0227777138,-0.5467101869,-0.1214785201,0.8213100631,0.1804166821,0,0.1736111111,-1.10116305,1.355836999
posterior_entropy_reduction_candidate,acquisition_candidate,test,3,48,-0.0379206793,-0.2965751768,-0.0656842748,0.7049998074,0.1548464397,0,0.2309027778,-0.5989321302,1.326014275
random_budget_control,control,val,3,48,0.0183063677,-0.0864079755,-0.0195558567,0.3610078517,0.0784940187,0,0.2152777778,-0.1734675963,0.4430696834
random_budget_control,control,test,3,48,0.0414102698,0.0609122756,0.0136856786,0.347512355,0.0754764864,0,0.2083333333,0.1272609324,0.4268550611
uniform_budget_control,control,val,3,48,0.0132677196,0.0507283087,0.0114811592,0.2238715675,0.0474570028,0,0.25,0.1042421681,0.3701548408
uniform_budget_control,control,test,3,48,0.0231139353,0.1118138778,0.0247882365,0.2966107528,0.0643739284,0,0.25,0.2267990735,0.3534965144
