x,y,z,t,signal,temperature_C,frame_index,row_index,col_index,laser_power_W,scan_speed_mm_s,spot_size_um
0.0,0.0,0.0,0.0,123.0,1081.000889251737,0,0,0,285.0,960.0,67.0
300.0,0.0,0.0,0.0,107.0,1070.1804722621068,0,0,300,285.0,960.0,67.0
0.0,8.0,0.0,0.0,141.0,1091.820194839102,0,8,0,285.0,960.0,67.0
300.0,8.0,0.0,0.0,115.0,1075.751792144178,0,8,300,285.0,960.0,67.0
0.0,16.0,0.0,0.0,118.0,1077.7557553634545,0,16,0,285.0,960.0,67.0
300.0,16.0,0.0,0.0,127.0,1083.5167871222163,0,16,300,285.0,960.0,67.0
0.0,24.0,0.0,0.0,138.0,1090.1021397018658,0,24,0,285.0,960.0,67.0
300.0,24.0,0.0,0.0,139.0,1090.6783357202166,0,24,300,285.0,960.0,67.0
0.0,32.0,0.0,0.0,119.0,1078.4140640581338,0,32,0,285.0,960.0,67.0
300.0,32.0,0.0,0.0,125.0,1082.267437985978,0,32,300,285.0,960.0,67.0
0.0,40.0,0.0,0.0,130.0,1085.3596542944422,0,40,0,285.0,960.0,67.0
300.0,40.0,0.0,0.0,128.0,1084.1351696996758,0,40,300,285.0,960.0,67.0
0.0,48.0,0.0,0.0,146.0,1094.6155224895754,0,48,0,285.0,960.0,67.0
300.0,48.0,0.0,0.0,134.0,1087.7611175615493,0,48,300,285.0,960.0,67.0
0.0,56.0,0.0,0.0,121.0,1079.7166149741097,0,56,0,285.0,960.0,67.0
300.0,56.0,0.0,0.0,122.0,1080.3610016411455,0,56,300,285.0,960.0,67.0
0.0,64.0,0.0,0.0,101.0,1065.7628888760817,0,64,0,285.0,960.0,67.0
300.0,64.0,0.0,0.0,132.0,1086.568153848815,0,64,300,285.0,960.0,67.0
0.0,72.0,0.0,0.0,112.0,1073.7026007119105,0,72,0,285.0,960.0,67.0
300.0,72.0,0.0,0.0,110.0,1072.3102227508348,0,72,300,285.0,960.0,67.0
0.0,80.0,0.0,0.0,132.0,1086.568153848815,0,80,0,285.0,960.0,67.0
300.0,80.0,0.0,0.0,111.0,1073.0090954733719,0,80,300,285.0,960.0,67.0
0.0,88.0,0.0,0.0,151.0,1097.3303686926968,0,88,0,285.0,960.0,67.0
300.0,88.0,0.0,0.0,128.0,1084.1351696996758,0,88,300,285.0,960.0,67.0
0.0,96.0,0.0,0.0,107.0,1070.1804722621068,0,96,0,285.0,960.0,67.0
300.0,96.0,0.0,0.0,128.0,1084.1351696996758,0,96,300,285.0,960.0,67.0
0.0,104.0,0.0,0.0,102.0,1066.514497451543,0,104,0,285.0,960.0,67.0
300.0,104.0,0.0,0.0,130.0,1085.3596542944422,0,104,300,285.0,960.0,67.0
0.0,112.0,0.0,0.0,136.0,1088.9389755037753,0,112,0,285.0,960.0,67.0
300.0,112.0,0.0,0.0,128.0,1084.1351696996758,0,112,300,285.0,960.0,67.0
0.0,120.0,0.0,0.0,104.0,1067.998969485603,0,120,0,285.0,960.0,67.0
300.0,120.0,0.0,0.0,123.0,1081.000889251737,0,120,300,285.0,960.0,67.0
0.0,128.0,0.0,0.0,114.0,1075.073863213154,0,128,0,285.0,960.0,67.0
300.0,128.0,0.0,0.0,134.0,1087.7611175615493,0,128,300,285.0,960.0,67.0
0.0,136.0,0.0,0.0,121.0,1079.7166149741097,0,136,0,285.0,960.0,67.0
300.0,136.0,0.0,0.0,133.0,1087.1665503707152,0,136,300,285.0,960.0,67.0
0.0,144.0,0.0,0.0,134.0,1087.7611175615493,0,144,0,285.0,960.0,67.0
300.0,144.0,0.0,0.0,119.0,1078.4140640581338,0,144,300,285.0,960.0,67.0
0.0,152.0,0.0,0.0,112.0,1073.7026007119105,0,152,0,285.0,960.0,67.0
300.0,152.0,0.0,0.0,121.0,1079.7166149741097,0,152,300,285.0,960.0,67.0
0.0,160.0,0.0,0.0,112.0,1073.7026007119105,0,160,0,285.0,960.0,67.0
300.0,160.0,0.0,0.0,118.0,1077.7557553634545,0,160,300,285.0,960.0,67.0
0.0,168.0,0.0,0.0,120.0,1079.0676595659613,0,168,0,285.0,960.0,67.0
300.0,168.0,0.0,0.0,114.0,1075.073863213154,0,168,300,285.0,960.0,67.0
300.0,176.0,0.0,0.0,116.0,1076.4246970775782,0,176,300,285.0,960.0,67.0
0.0,184.0,0.0,0.0,125.0,1082.267437985978,0,184,0,285.0,960.0,67.0
300.0,184.0,0.0,0.0,121.0,1079.7166149741097,0,184,300,285.0,960.0,67.0
