freeze_id,scenario,dataset,split,metric,status,candidate,comparator,delta_vs_comparator,manuscript_use,evidence,freeze_status
P91-STRESS-001,stronger_baseline_stress,broad12,spot_size,Test RMSE,pass,136.384782,mean: 151.850578,-15.465796,supports fixed-sampling Phase 55 floor,docs/results/phase58_stronger_baseline_stress/phase58_stronger_baseline_stress_summary.json,frozen_support_row
P91-STRESS-002,stronger_baseline_stress,broad12,spot_size,Hot q90 RMSE,pass,162.125337,mean: 252.554440,-90.429103,supports fixed-sampling Phase 55 floor,docs/results/phase58_stronger_baseline_stress/phase58_stronger_baseline_stress_summary.json,frozen_support_row
P91-STRESS-003,stronger_baseline_stress,broad12,spot_size,Gradient q90 RMSE,pass,165.282182,mean: 233.119660,-67.837478,supports fixed-sampling Phase 55 floor,docs/results/phase58_stronger_baseline_stress/phase58_stronger_baseline_stress_summary.json,frozen_support_row
P91-STRESS-004,stronger_baseline_stress,broad21,spot_size,Test RMSE,pass,146.002303,mean: 149.185412,-3.183109,supports fixed-sampling Phase 55 floor,docs/results/phase58_stronger_baseline_stress/phase58_stronger_baseline_stress_summary.json,frozen_support_row
P91-STRESS-005,stronger_baseline_stress,broad21,spot_size,Hot q90 RMSE,pass,164.313888,mean: 251.976794,-87.662906,supports fixed-sampling Phase 55 floor,docs/results/phase58_stronger_baseline_stress/phase58_stronger_baseline_stress_summary.json,frozen_support_row
P91-STRESS-006,stronger_baseline_stress,broad21,spot_size,Gradient q90 RMSE,pass,174.735839,mean: 231.072566,-56.336727,supports fixed-sampling Phase 55 floor,docs/results/phase58_stronger_baseline_stress/phase58_stronger_baseline_stress_summary.json,frozen_support_row
P91-STRESS-007,alternate_density_stress,broad12,spot_size,Test RMSE,pass,139.085217,mean: 140.201362,-1.116145,density stress support,docs/results/phase58_sampling_panel_stress/phase58_sampling_density_stress_summary.json,frozen_support_row
P91-STRESS-008,alternate_density_stress,broad12,spot_size,Hot q90 RMSE,pass,235.696768,mean: 253.374499,-17.677731,density stress support,docs/results/phase58_sampling_panel_stress/phase58_sampling_density_stress_summary.json,frozen_support_row
P91-STRESS-009,alternate_density_stress,broad12,spot_size,Gradient q90 RMSE,pass,221.604222,mean: 234.028899,-12.424677,density stress support,docs/results/phase58_sampling_panel_stress/phase58_sampling_density_stress_summary.json,frozen_support_row
P91-STRESS-010,alternate_density_stress,broad21,spot_size,Test RMSE,boundary,153.259455,mean: 139.725646,13.533809,density-sensitive boundary,docs/results/phase58_sampling_panel_stress/phase58_sampling_density_stress_summary.json,frozen_boundary_row
P91-STRESS-011,alternate_density_stress,broad21,spot_size,Hot q90 RMSE,boundary,270.628922,mean: 253.129723,17.499198,density-sensitive boundary,docs/results/phase58_sampling_panel_stress/phase58_sampling_density_stress_summary.json,frozen_boundary_row
P91-STRESS-012,alternate_density_stress,broad21,spot_size,Gradient q90 RMSE,boundary,250.519935,mean: 231.780894,18.739041,density-sensitive boundary,docs/results/phase58_sampling_panel_stress/phase58_sampling_density_stress_summary.json,frozen_boundary_row
P91-STRESS-013,auxiliary_process_panel,broad15,spot_size,Test RMSE,pass,138.855456,mean: 151.850578,-12.995122,auxiliary process-panel support,docs/results/phase58_sampling_panel_stress/phase58_process_panel_stress_summary.json,frozen_support_row
P91-STRESS-014,auxiliary_process_panel,broad15,spot_size,Hot q90 RMSE,pass,158.622677,mean: 252.554440,-93.931762,auxiliary process-panel support,docs/results/phase58_sampling_panel_stress/phase58_process_panel_stress_summary.json,frozen_support_row
P91-STRESS-015,auxiliary_process_panel,broad15,spot_size,Gradient q90 RMSE,pass,165.869192,mean: 233.732337,-67.863145,auxiliary process-panel support,docs/results/phase58_sampling_panel_stress/phase58_process_panel_stress_summary.json,frozen_support_row
P91-STRESS-016,residual_upper_bound_gate,broad21_density,test,Test RMSE,blocks_model_expansion,153.259459,mean: 139.725646,13.533813,route-boundary evidence; do not claim density-invariant robustness,docs/results/phase59_residual_anatomy/phase59_broad21_density_residual_upper_bound.json,frozen_blocks_model_expansion_row
P91-STRESS-017,residual_anatomy_slice,broad21_density,test,line_id=Line_1_1_1,boundary,165.425776,mean: 143.582200,21.843576,appendix residual-slice evidence,docs/results/phase59_residual_anatomy/phase59_broad21_density_residual_anatomy.json,frozen_boundary_row
P91-STRESS-018,residual_anatomy_slice,broad21_density,test,region=hot_q90,boundary,272.542708,mean: 253.129723,19.412985,appendix residual-slice evidence,docs/results/phase59_residual_anatomy/phase59_broad21_density_residual_anatomy.json,frozen_boundary_row
P91-STRESS-019,residual_anatomy_slice,broad21_density,test,time_bin=low,boundary,150.448143,mean: 131.865568,18.582575,appendix residual-slice evidence,docs/results/phase59_residual_anatomy/phase59_broad21_density_residual_anatomy.json,frozen_boundary_row
